subject	session	block	trial 	response duration	typeTop	typeBot	sameFlag	response	correctFlag	rt	rtFlag	face_top	x_top_target	y_top_target	x_top_probe	y_top_probe	face_bot	x_bot_target	y_bot_target	x_bot_probe	y_bot_probe
1	1	2	32	0.2	1	1	1	1	1	210.36	1	2	1	1	1	1	1	1	1	1	1
1	1	2	33	0.1	1	1	1	1	1	235.79	1	20	3	3	3	3	16	3	1	3	1
1	1	2	34	0.8	3	3	2	1	0	200.08	1	2	3	1	1	3	5	3	1	1	3
1	1	2	35	0.8	3	3	2	1	0	239.91	1	2	3	3	1	1	10	3	3	1	1
1	1	2	36	0.2	3	3	2	1	0	215.99	1	13	1	3	3	1	6	3	3	1	1
1	1	2	37	0.1	3	3	2	1	0	260.93	1	13	3	1	1	3	14	1	3	3	1
1	1	2	38	0.4	3	3	2	1	0	213.34	1	2	3	1	1	3	9	3	3	1	1
1	1	2	39	0.05	1	1	1	1	1	261.61	1	16	3	3	3	3	7	3	3	3	3
1	1	2	40	0.8	3	3	2	2	1	201.88	1	6	1	3	3	1	6	1	1	3	3
1	1	2	41	0.4	1	1	1	2	0	194.07	1	15	3	3	3	3	1	1	3	1	3
1	1	2	42	0.2	1	1	1	2	0	230.2	1	19	3	3	3	3	4	3	1	3	1
1	1	2	43	0.4	3	3	2	1	0	207.13	1	7	3	3	1	1	3	1	1	3	3
1	1	2	44	0.4	1	1	1	2	0	228.05	1	3	3	3	3	3	18	1	3	1	3
1	1	2	45	0.1	1	1	1	1	1	232.91	1	16	3	1	3	1	17	1	1	1	1
1	1	2	46	1.8	1	1	1	2	0	186.55	1	20	1	1	1	1	11	1	3	1	3
1	1	2	47	0.1	3	3	2	2	1	252.74	1	10	3	1	1	3	6	1	3	3	1
1	1	2	48	0.2	1	1	1	2	0	214.51	1	3	1	1	1	1	17	3	1	3	1
1	1	2	49	0.8	3	3	2	1	0	235.71	1	11	3	1	1	3	8	1	3	3	1
1	1	2	50	1.8	3	3	2	2	1	195.28	1	8	3	1	1	3	20	3	1	1	3
1	1	2	51	0.4	3	3	2	1	0	225.58	1	3	3	3	1	1	19	3	1	1	3
